Id,Organizacion,Enlace Organizacion,Titulo Servicio,Enlace servicio,Nombre Capa,Titulo Capa,Eje Pertenece,subeje,Identificador,PalabraClave,Tipo,Estado,Error,Nota
43,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,Cobertura_Uso,https://www.geoportaligm.gob.ec/p_geoinformacion/Cobertura_Uso/wms?,m_uso_homologado_a,m_uso_homologado_a,USO Y OCUPACIÓN DEL SUELO,zona agricola,cuenca_conservacion_agricola,"productos, conservacion, agua, agricola, proteccion",wms,Activo,,
44,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,Cobertura_Uso,https://www.geoportaligm.gob.ec/p_geoinformacion/Cobertura_Uso/wms?,m_sistemasprod_homologado_a,m_sistemasprod_homologado_a,USO Y OCUPACIÓN DEL SUELO,zona Industrial grande,cuenca_empresarial_mercantil_marginal,"empresarial, mercantil, marginal",wms,Activo,,
45,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,Cobertura_Uso,https://www.geoportaligm.gob.ec/p_geoinformacion/Cobertura_Uso/wms?,m_cobertura_homologado_a,m_cobertura_homologado_a,USO Y OCUPACIÓN DEL SUELO,zona agricola,cuenca_vegetacion_cutivo,"acelga, acote, achira, aguacate, avena, frejol, maiz, papa, vegetacion, matorral, ",wms,Activo,,
46,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,geopedologia,https://www.geoportaligm.gob.ec/p_geoinformacion/Geopedologia/wms?,M_Geopedologico,Mosaico Geopedologico 1:25000,MEDIO FÍSICO,tipos de suelos,cuenca_suelos_clasificacion,clasificacion de suelos,wms,Activo,,
47,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,geopedologia,https://www.geoportaligm.gob.ec/p_geoinformacion/Geopedologia/wms?,M_FormadeRelieve,Mapa de la Forma de Relieve 1:25000,MEDIO FÍSICO,Relieves,cuenca_relieve_vertiente_cordillera_climas_frios,"vertientes, relieves, medio aluvial, llanura, cordillera, cimas frios, conos de esparcimiento",wms,Activo,,
48,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,geopedologia,https://www.geoportaligm.gob.ec/p_geoinformacion/Geopedologia/wms?,M_CapacidadUsoTierras,Mapa de Capacidad de Uso de la Tierra 1:25000,MEDIO FÍSICO,tipos de suelos,cuenca_uso_de_tierra,"capacidad de uso de tierra,                       factores climáticos",wms,Activo,,
49,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,geopedologia,https://www.geoportaligm.gob.ec/p_geoinformacion/Geopedologia/wms?,M_AmenazasDeslizamientos,Mapa de Amenazas Geológicas por Deslizamientos 1:25000,MEDIO FÍSICO,riesgo de deslizamientos,cuenca_geologica_deslizaamientos,amenaza geologica por deslizamiento,wms,Activo,,
50,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,geopedologia,https://www.geoportaligm.gob.ec/p_geoinformacion/Geopedologia/wms?,M_AmenazasCaidas,Mapa de Amenazas Geológicas por Caídas 1:25000,MEDIO FÍSICO,geología,cuenca_geologica_caida,amenaza geologica por caida,wms,Activo,,
51,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,Geomorfologia,https://www.geoportaligm.gob.ec/p_geoinformacion/Geomorfologia/wms?,m_deslizamientos_a,m_deslizamientos_a,MEDIO FÍSICO,riesgo de deslizamientos,cuenca_deslizamientos,"grado de amenaza, deslizamientos",wms,Activo,,
52,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,geomorfologia,https://www.geoportaligm.gob.ec/p_geoinformacion/Geomorfologia/wms?,m_caidas_a,m_caidas_a,MEDIO FÍSICO,riesgos de caida,cuenca_caidas_grado_de_amenaza,"grado de amenaza, caidas",wms,Activo,,
53,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,AreasNaturales,https://www.geoportaligm.gob.ec/p_geoinformacion/AreasNaturales/wms?,Bosques_Vegetacion_Protectores_2013_1_50000,Bosques_Vegetacion_Protectores_2013_1_50000,MEDIO FÍSICO,áreas protegidas,azuay_cajas_usos_suelo,"vertientes, relieves, medio aluvial, llanura, cordillera, cimas frios, conos de esparcimiento",wms,Activo,,
54,IGM Instituto Geográfico Militar,https://www.geoportaligm.gob.ec/p_geoinformacion,AreasNaturales,https://www.geoportaligm.gob.ec/p_geoinformacion/AreasNaturales/wms?,AN_PANE,Patrimonio de Areas de Naturales,MEDIO FÍSICO,áreas protegidas,ccuenca_patrimonio_areas_naturales,pratimonio areas naturales,wms,Activo,,
